afid,number_occurences,affilname,affiliation_city,affiliation_country,city_country,lat,long
60103980,3,Covenant University,Ota,Nigeria,"Ota, Nigeria",7.95,4.8
60104674,3,Najran University,Najran,Saudi Arabia,"Najran, Saudi Arabia",18,45.666667
60105080,3,"Mid Sweden University, Östersund",Ostersund,Sweden,"Ostersund, Sweden",63.1793655,14.6357061
60105159,3,Ritsumeikan University Biwako-Kusatsu Campus,Kusatsu,Japan,"Kusatsu, Japan",35.0340345,135.9507855
60106948,3,"MICA, India",Ahmedabad,India,"Ahmedabad, India",23.0216238,72.5797068
60107797,3,KEDGE Business School,Talence,France,"Talence, France",44.8088438,-0.5879629
60111656,3,Duy Tan University,Da Nang,Viet Nam,"Da Nang, Viet Nam",16.068,108.212
60116316,3,Jones Graduate School of Business,Houston,United States,"Houston, United States",29.7589382,-95.3676974
60116489,3,Owen Graduate School of Management,Nashville,United States,"Nashville, United States",36.1622767,-86.7742984
60116494,3,UCI Paul Merage School of Business,Irvine,United States,"Irvine, United States",33.6856969,-117.8259819
60118711,3,"School of Business Administration, Northeastern University",Shenyang,China,"Shenyang, China",41.8026095,123.4279105
60119111,3,Schulich School of Business,Toronto,Canada,"Toronto, Canada",43.6534817,-79.3839347
60138449,3,Mays Business School,College Station,United States,"College Station, United States",30.5955289,-96.3071042
60159411,3,Carson College of Business,Pullman,United States,"Pullman, United States",46.7304268,-117.173895
60170149,3,Cardiff Business School,Cardiff,United Kingdom,"Cardiff, United Kingdom",51.4816546,-3.1791934
60180326,3,Newcastle Business School,Newcastle,Australia,"Newcastle, Australia",-32.9192953,151.7795348
60190688,3,Peter B. Gustavson School of Business,Victoria,Canada,"Victoria, Canada",48.4283182,-123.3649533
60191853,3,Edwards School of Business,Saskatoon,Canada,"Saskatoon, Canada",52.131802,-106.660767
60199519,3,Faculty of Business Administration,Taipa,Macao,"Taipa, Macao",22.1573804,113.5601035
60212786,3,Vinod Gupta School of Management,Kharagpur,India,"Kharagpur, India",25.133173050000003,86.52504036339789
100321029,3,"GENERAL LAND OFFICE, TEXAS",Austin,United States,"Austin, United States",30.2711286,-97.7436995
60000009,2,Villanova University,Villanova,United States,"Villanova, United States",40.0373323,-75.3490769
60001769,2,"University of Nevada, Reno",Reno,United States,"Reno, United States",39.5261206,-119.8126581
60001903,2,Abertay University,Dundee,United Kingdom,"Dundee, United Kingdom",56.4605938,-2.97019
60002214,2,University of San Diego,San Diego,United States,"San Diego, United States",32.7174202,-117.1627728
60004466,2,Università IULM,Milan,Italy,"Milan, Italy",45.4641943,9.1896346
60004538,2,Dalian University of Technology,Dalian,China,"Dalian, China",38.9181714,121.6282945
60004923,2,NC State University,Raleigh,United States,"Raleigh, United States",35.7803977,-78.6390989
60004954,2,National Institute of Technology Karnataka,Mangalore,India,"Mangalore, India",12.8698101,74.8430082
60005101,2,Fu Jen Catholic University,New Taipei City,Taiwan,"New Taipei City, Taiwan",25.0612686,121.4598089
